,molecule_chembl_id,canonical_smiles,standard_value,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,norm_value,pIC50
0,CHEMBL584991,Nc1nonc1/C(=N/O)Nc1ccc(F)c(Cl)c1,46.0,active,271.639,1.6921999999999993,3.0,6.0,46.0,7.337242168318426
1,CHEMBL584991,Nc1nonc1/C(=N/O)Nc1ccc(F)c(Cl)c1,1000.0,active,271.639,1.6921999999999993,3.0,6.0,1000.0,6.0
2,CHEMBL571436,Sc1nc(-c2ccccc2)cs1,20000.0,inactive,193.296,3.0988000000000007,1.0,3.0,20000.0,4.698970004336019
7,CHEMBL449298,Nc1ccc(O)c2ncccc12,1000.0,active,201.26899999999998,3.3657000000000012,2.0,2.0,1000.0,6.0
9,CHEMBL206816,Oc1ccc(O)c2ccccc12,10000.0,inactive,452.5980000000002,6.587600000000007,0.0,4.0,10000.0,5.0
12,CHEMBL577335,CCNc1ccc(O)c2ccccc12,50000.0,inactive,169.27399999999997,2.4176,2.0,3.0,50000.0,4.301029995663981
14,CHEMBL578212,CC(C)Nc1ccc(O)c2ccccc12,30000.0,inactive,163.15500000000003,1.6107999999999996,1.0,2.0,30000.0,4.522878745280337
16,CHEMBL3707017,CC(C)/N=C1/C=C(C2=C/C(=N\C(C)C)c3ccccc3C2=O)C(=O)c2ccccc21,50000.0,inactive,224.061,2.2341999999999995,1.0,2.0,50000.0,4.301029995663981
17,CHEMBL3707018,CCC(CC)/N=C1/C=C(C2=C/C(=N\C(CC)CC)c3ccccc3C2=O)C(=O)c2ccccc21,200000.0,inactive,170.17499999999998,1.3433799999999996,1.0,3.0,200000.0,3.6989700043360187
19,CHEMBL504816,Cn1cc(C[C@H](N)C(=O)O)c2ccccc21,40000.0,inactive,173.219,2.0340999999999996,1.0,2.0,40000.0,4.3979400086720375
20,CHEMBL570797,SC1Nc2ccccc2S1,20000.0,inactive,190.162,1.3798999999999995,1.0,4.0,20000.0,4.698970004336019
21,CHEMBL193664,c1ccc(-c2cnn[nH]2)cc1,180.0,active,159.192,1.7801199999999997,1.0,2.0,180.0,6.7447274948966935
23,CHEMBL2147989,Clc1cccc(-c2c[nH]nn2)c1,20.0,active,161.164,1.1772999999999998,2.0,3.0,20.0,7.698970004336019
24,CHEMBL382312,Brc1cccc(-c2c[nH]nn2)c1,23.0,active,160.18,1.0538999999999998,2.0,3.0,23.0,7.638272163982407
25,CHEMBL2147990,N#Cc1cccc(-c2c[nH]nn2)c1,29.0,active,180.598,1.5200999999999998,1.0,3.0,29.0,7.537602002101044
26,CHEMBL2147991,FC(F)(F)c1cccc(-c2c[nH]nn2)c1,70.0,active,225.04900000000004,1.6291999999999993,1.0,3.0,70.0,7.154901959985743
27,CHEMBL2147992,CCc1cccc(-c2c[nH]nn2)c1,30.0,active,164.14300000000003,1.0057999999999996,1.0,3.0,30.0,7.522878745280337
28,CHEMBL2147993,O=[N+]([O-])c1cccc(-c2c[nH]nn2)c1,110.0,active,214.15000000000003,1.8854999999999995,1.0,3.0,110.0,6.958607314841775
29,CHEMBL194853,Cc1cccc(-c2c[nH]nn2)c1,120.0,active,224.061,2.2341999999999995,1.0,2.0,120.0,6.920818753952375
33,CHEMBL2146496,Clc1cc(-c2c[nH]nn2)ccn1,60.0,active,160.18,1.0538999999999998,2.0,3.0,60.0,7.221848749616356
34,CHEMBL2147995,Brc1cc(-c2c[nH]nn2)ccn1,50.0,active,163.155,1.6107999999999998,1.0,2.0,50.0,7.301029995663981
35,CHEMBL2147996,Fc1cc(-c2c[nH]nn2)ccn1,120.0,active,173.219,2.0341,1.0,2.0,120.0,6.920818753952375
36,CHEMBL2147997,FC(F)(F)c1cc(-c2c[nH]nn2)ccn1,340.0,active,213.162,2.4905,1.0,2.0,340.0,6.468521082957745
37,CHEMBL1909733,Brc1ccccc1-c1cnn[nH]1,34.0,active,175.191,1.4802999999999995,1.0,3.0,34.0,7.468521082957745
38,CHEMBL2147998,Oc1ccccc1-c1c[nH]nn1,22.0,active,195.60900000000004,1.8306999999999998,2.0,3.0,22.0,7.657577319177793
42,CHEMBL2148000,Fc1ccccc1-c1c[nH]nn1,630.0,active,271.639,1.6921999999999993,3.0,6.0,630.0,6.200659450546419
43,CHEMBL2148001,CCc1ccccc1-c1c[nH]nn1,13000.0,inactive,229.21800000000002,1.9904999999999995,2.0,3.0,13000.0,4.886056647693163
44,CHEMBL2148002,FC(F)(F)c1ccccc1-c1c[nH]nn1,20000.0,inactive,441.54900000000015,4.374260000000002,2.0,6.0,20000.0,4.698970004336019
45,CHEMBL372363,COc1ccccc1-c1c[nH]nn1,20000.0,inactive,346.4120000000001,2.29474,1.0,6.0,20000.0,4.698970004336019
46,CHEMBL2148074,Oc1ccc(Cl)cc1-c1c[nH]nn1,2.0,active,397.75800000000015,6.518000000000003,0.0,3.0,2.0,8.698970004336019
47,CHEMBL2148075,Cc1ccc(Cl)cc1-c1c[nH]nn1,120.0,active,474.5870000000004,1.6109,1.0,8.0,120.0,6.920818753952375
48,CHEMBL2148076,Clc1ccc(Cl)c(-c2c[nH]nn2)c1,150.0,active,383.3760000000001,2.8843000000000005,1.0,6.0,150.0,6.823908740944319
50,CHEMBL584991,Nc1nonc1/C(=N/O)Nc1ccc(F)c(Cl)c1,100.0,active,369.3680000000001,3.515220000000001,1.0,4.0,100.0,7.0
